timestamp,total_usd,deployed_pct,regime,positions_count
2026-04-09T01:20:18.931599+00:00,308.6087,0.0,BEAR,0
2026-04-09T01:22:08.982114+00:00,308.6087,0.0,BEAR,0
2026-04-09T01:39:59.267868+00:00,308.6087,0.0,BEAR,0
2026-04-09T01:54:39.447530+00:00,308.6087,0.0,BEAR,0
2026-04-09T01:55:51.064041+00:00,308.6087,0.0,BEAR,0
2026-04-09T02:06:42.774684+00:00,308.6087,0.0,BEAR,0
2026-04-09T02:09:40.023989+00:00,308.6087,0.0,BEAR,0
2026-04-09T02:14:42.107780+00:00,308.6087,0.0,BEAR,0
2026-04-09T02:19:46.503029+00:00,308.6087,0.0,BEAR,0
2026-04-09T02:24:50.171356+00:00,308.6087,0.0,BEAR,0
2026-04-09T02:29:54.472881+00:00,308.6087,0.0,BEAR,0
2026-04-09T02:34:58.732611+00:00,308.6087,0.0,BEAR,0
2026-04-09T02:40:02.538497+00:00,308.6087,0.0,BEAR,0
2026-04-09T02:45:06.668306+00:00,308.6087,0.0,BEAR,0
2026-04-09T02:50:12.658148+00:00,308.6087,0.0,BEAR,0
2026-04-09T02:55:16.872551+00:00,308.6087,0.0,BEAR,0
2026-04-09T03:00:18.973902+00:00,308.6087,0.0,BEAR,0
2026-04-09T03:05:22.862702+00:00,308.6087,0.0,BEAR,0
2026-04-09T03:10:30.196873+00:00,308.6087,0.0,BEAR,0
2026-04-09T03:15:30.997202+00:00,308.6087,0.0,BEAR,0
2026-04-09T03:20:35.319054+00:00,308.6087,0.0,BEAR,0
2026-04-09T03:25:39.779451+00:00,308.6087,0.0,BEAR,0
2026-04-09T03:30:44.122874+00:00,308.6087,0.0,BEAR,0
2026-04-09T03:35:47.980884+00:00,308.6087,0.0,BEAR,0
2026-04-09T03:40:55.420725+00:00,308.6087,0.0,BEAR,0
2026-04-09T03:45:57.063676+00:00,308.6087,0.0,BEAR,0
2026-04-09T03:51:00.413700+00:00,308.6087,0.0,BEAR,0
2026-04-09T03:56:04.598837+00:00,308.6087,0.0,BEAR,0
2026-04-09T04:01:09.935736+00:00,308.6087,0.0,BEAR,0
2026-04-09T04:06:12.984217+00:00,308.6087,0.0,BEAR,0
2026-04-09T04:11:17.452391+00:00,308.6087,0.0,BEAR,0
2026-04-09T04:16:21.923890+00:00,308.6087,0.0,BEAR,0
