timestamp,open,high,low,close,volume
2025-03-24 16:00:00+00:00,94.26,94.87,93.47,94.71,16.027
2025-03-24 20:00:00+00:00,94.93,95.5,93.0,93.69,127.487
2025-03-25 00:00:00+00:00,93.68,94.33,92.27,92.29,117.639
2025-03-25 04:00:00+00:00,92.01,92.71,92.0,92.47,18.987
2025-03-25 08:00:00+00:00,92.67,93.18,92.33,93.06,10.548
2025-03-25 12:00:00+00:00,93.17,94.68,92.89,93.4,57.07
2025-03-25 16:00:00+00:00,93.32,93.76,92.88,93.76,27.081
2025-03-25 20:00:00+00:00,93.34,94.59,93.15,94.59,30.128
2025-03-26 00:00:00+00:00,94.6,96.0,93.38,93.46,182.627
2025-03-26 04:00:00+00:00,93.74,95.75,93.46,95.75,3.558
2025-03-26 08:00:00+00:00,95.69,96.39,95.2,95.92,32.27
2025-03-26 12:00:00+00:00,95.72,95.72,92.91,93.0,118.325
2025-03-26 16:00:00+00:00,92.77,93.53,91.03,92.31,510.463
2025-03-26 20:00:00+00:00,92.17,92.95,91.69,92.22,153.74
2025-03-27 00:00:00+00:00,92.25,94.04,92.24,93.83,171.222
2025-03-27 04:00:00+00:00,93.96,94.09,93.45,93.93,6.638
2025-03-27 08:00:00+00:00,94.22,94.87,93.76,93.76,19.246
2025-03-27 12:00:00+00:00,94.15,94.21,92.31,94.08,136.468
2025-03-27 16:00:00+00:00,93.82,93.83,91.01,92.63,107.707
2025-03-27 20:00:00+00:00,92.56,93.1,92.56,92.7,62.056
2025-03-28 00:00:00+00:00,92.54,93.33,91.98,92.46,124.729
2025-03-28 04:00:00+00:00,92.35,92.36,88.27,88.44,747.546
2025-03-28 08:00:00+00:00,88.81,89.03,87.52,88.0,716.502
2025-03-28 12:00:00+00:00,87.84,87.86,87.03,87.4,27.332
2025-03-28 16:00:00+00:00,87.12,87.47,86.25,86.25,22.919
2025-03-28 20:00:00+00:00,86.67,87.51,85.9,87.49,26.576
2025-03-29 00:00:00+00:00,87.48,87.97,86.25,87.54,18.961
2025-03-29 04:00:00+00:00,87.56,87.57,85.85,85.85,26.311
2025-03-29 08:00:00+00:00,86.41,86.41,85.1,85.1,18.182
2025-03-29 12:00:00+00:00,86.25,86.66,86.06,86.06,12.739
2025-03-29 16:00:00+00:00,85.99,85.99,84.27,85.69,43.081
2025-03-29 20:00:00+00:00,85.3,85.3,84.51,85.22,120.964
2025-03-30 00:00:00+00:00,85.17,86.63,84.79,86.35,13.436
2025-03-30 04:00:00+00:00,86.64,86.79,86.0,86.69,18.377
2025-03-30 08:00:00+00:00,86.2,86.2,86.18,86.18,3.786
2025-03-30 12:00:00+00:00,86.02,86.27,85.24,86.27,19.938
2025-03-30 16:00:00+00:00,86.46,86.64,85.93,86.64,6.299
2025-03-30 20:00:00+00:00,86.48,86.64,84.98,86.02,50.113
2025-03-31 00:00:00+00:00,86.1,86.1,84.65,84.65,63.002
2025-03-31 04:00:00+00:00,84.84,85.64,83.52,83.52,27.831
2025-03-31 08:00:00+00:00,83.82,83.82,81.02,82.22,213.474
2025-03-31 12:00:00+00:00,82.03,83.67,81.21,83.67,146.995
2025-03-31 16:00:00+00:00,82.98,84.2,82.84,83.57,13.578
2025-03-31 20:00:00+00:00,83.79,83.97,83.02,83.25,27.916
2025-04-01 00:00:00+00:00,83.25,83.91,83.13,83.91,10.549
2025-04-01 04:00:00+00:00,84.17,84.66,83.8,84.66,12.179
2025-04-01 08:00:00+00:00,84.91,85.67,84.0,84.0,31.08
2025-04-01 12:00:00+00:00,83.97,85.66,83.74,85.66,41.458
2025-04-01 16:00:00+00:00,85.35,85.7,84.84,85.01,37.953
2025-04-01 20:00:00+00:00,84.49,85.23,84.49,84.91,20.59
2025-04-02 00:00:00+00:00,84.2,84.6,82.5,83.2,64.785
2025-04-02 04:00:00+00:00,83.03,84.66,80.91,81.23,76.718
2025-04-02 08:00:00+00:00,82.22,83.18,82.05,83.18,18.6
2025-04-02 12:00:00+00:00,82.95,87.18,82.95,85.99,1284.08
2025-04-02 16:00:00+00:00,85.49,87.0,84.98,86.61,203.441
2025-04-02 20:00:00+00:00,86.4,88.33,81.03,81.89,244.814
2025-04-03 00:00:00+00:00,81.1,84.17,81.1,83.26,200.693
2025-04-03 04:00:00+00:00,83.52,83.68,83.45,83.45,1.993
2025-04-03 08:00:00+00:00,83.7,84.58,81.59,82.54,16.166
2025-04-03 12:00:00+00:00,82.53,82.53,80.25,81.77,1011.953
2025-04-03 16:00:00+00:00,82.02,82.54,81.08,82.22,19.486
2025-04-03 20:00:00+00:00,82.0,83.43,80.7,83.43,241.98
2025-04-04 00:00:00+00:00,83.49,83.6,82.98,83.1,19.341
2025-04-04 04:00:00+00:00,83.24,84.66,82.67,84.66,745.981
2025-04-04 08:00:00+00:00,84.66,85.07,81.72,82.3,44.075
2025-04-04 12:00:00+00:00,82.3,84.74,82.19,84.71,188.085
2025-04-04 16:00:00+00:00,84.07,84.8,83.51,84.4,85.212
2025-04-04 20:00:00+00:00,84.38,84.7,84.16,84.16,14.393
2025-04-05 00:00:00+00:00,84.32,84.87,84.32,84.56,5.638
2025-04-05 04:00:00+00:00,84.27,84.27,84.27,84.27,0.034
2025-04-05 08:00:00+00:00,83.77,83.95,83.51,83.7,18.457
2025-04-05 12:00:00+00:00,83.18,83.34,82.05,82.05,8.79
2025-04-05 16:00:00+00:00,82.19,82.46,81.92,82.0,385.255
2025-04-05 20:00:00+00:00,81.91,82.6,81.71,82.6,43.127
2025-04-06 00:00:00+00:00,82.42,82.98,82.11,82.23,11.139
2025-04-06 04:00:00+00:00,82.34,82.36,81.63,81.74,4.664
2025-04-06 08:00:00+00:00,81.57,81.79,81.17,81.17,8.318
2025-04-06 12:00:00+00:00,81.42,81.42,78.27,78.95,1364.592
2025-04-06 16:00:00+00:00,78.75,78.75,71.75,72.67,371.697
2025-04-06 20:00:00+00:00,72.96,72.96,68.47,70.5,972.172
2025-04-07 00:00:00+00:00,70.6,71.71,67.5,68.14,456.602
2025-04-07 04:00:00+00:00,68.25,68.62,63.38,64.93,658.681
2025-04-07 08:00:00+00:00,64.49,68.17,63.87,66.95,101.066
2025-04-07 12:00:00+00:00,67.1,72.99,66.92,70.71,346.928
2025-04-07 16:00:00+00:00,69.62,71.45,69.33,70.72,182.771
2025-04-07 20:00:00+00:00,71.29,72.3,70.96,70.97,54.388
2025-04-08 00:00:00+00:00,70.97,72.82,70.42,72.06,971.149
2025-04-08 04:00:00+00:00,71.91,72.85,71.02,71.33,100.759
2025-04-08 08:00:00+00:00,71.1,73.14,71.08,72.74,21.781
2025-04-08 12:00:00+00:00,73.25,73.4,70.84,71.59,511.54
2025-04-08 16:00:00+00:00,71.31,71.31,67.99,68.81,1233.633
2025-04-08 20:00:00+00:00,68.76,69.74,68.74,69.25,19.004
2025-04-09 00:00:00+00:00,69.13,70.01,66.9,68.32,662.92
2025-04-09 04:00:00+00:00,68.99,70.61,68.99,70.56,28.763
2025-04-09 08:00:00+00:00,70.93,71.37,69.62,69.62,23.842
2025-04-09 12:00:00+00:00,70.46,72.04,69.97,71.55,25.966
2025-04-09 16:00:00+00:00,71.87,78.23,71.82,77.45,875.381
2025-04-09 20:00:00+00:00,77.29,78.17,76.01,76.01,182.626
2025-04-10 00:00:00+00:00,76.12,76.14,73.95,74.15,577.912
