timestamp,open,high,low,close,volume
2025-03-24 16:00:00+00:00,3.132,3.142,3.132,3.138,100.15
2025-03-24 20:00:00+00:00,3.131,3.131,3.131,3.131,20.01
2025-03-25 00:00:00+00:00,3.124,3.124,3.094,3.094,40.33
2025-03-25 04:00:00+00:00,3.097,3.097,3.097,3.097,4.69
2025-03-25 08:00:00+00:00,3.12,3.12,3.12,3.12,0.53
2025-03-25 12:00:00+00:00,3.12,3.12,3.12,3.12,0.0
2025-03-25 16:00:00+00:00,3.12,3.12,3.12,3.12,0.0
2025-03-25 20:00:00+00:00,3.125,3.125,3.125,3.125,5.2
2025-03-26 00:00:00+00:00,3.133,3.165,3.131,3.133,55.56
2025-03-26 04:00:00+00:00,3.133,3.2,3.133,3.2,523.06
2025-03-26 08:00:00+00:00,3.2,3.209,3.2,3.206,578.92
2025-03-26 12:00:00+00:00,3.163,3.163,3.094,3.094,201.21
2025-03-26 16:00:00+00:00,3.085,3.085,3.047,3.047,1098.26
2025-03-26 20:00:00+00:00,3.012,3.014,3.012,3.014,64.75
2025-03-27 00:00:00+00:00,3.022,3.103,3.022,3.1,87.53
2025-03-27 04:00:00+00:00,3.087,3.087,3.062,3.062,116.52
2025-03-27 08:00:00+00:00,3.049,3.049,3.014,3.014,26.85
2025-03-27 12:00:00+00:00,3.001,3.001,2.964,2.997,276.79
2025-03-27 16:00:00+00:00,3.011,3.025,2.993,3.025,70.51
2025-03-27 20:00:00+00:00,3.017,3.023,3.017,3.023,76.23
2025-03-28 00:00:00+00:00,3.023,3.023,3.023,3.023,0.0
2025-03-28 04:00:00+00:00,3.0,3.0,2.885,2.885,567.77
2025-03-28 08:00:00+00:00,2.867,2.868,2.85,2.85,72.05
2025-03-28 12:00:00+00:00,2.849,2.849,2.824,2.845,524.65
2025-03-28 16:00:00+00:00,2.81,2.828,2.8,2.81,540.64
2025-03-28 20:00:00+00:00,2.82,2.82,2.82,2.82,5.32
2025-03-29 00:00:00+00:00,2.781,2.781,2.781,2.781,8.71
2025-03-29 04:00:00+00:00,2.779,2.779,2.774,2.774,104.41
2025-03-29 08:00:00+00:00,2.787,2.791,2.758,2.758,9.63
2025-03-29 12:00:00+00:00,2.758,2.758,2.758,2.758,0.0
2025-03-29 16:00:00+00:00,2.747,2.747,2.73,2.73,55.71
2025-03-29 20:00:00+00:00,2.719,2.719,2.719,2.719,413.54
2025-03-30 00:00:00+00:00,2.719,2.719,2.719,2.719,0.0
2025-03-30 04:00:00+00:00,2.763,2.778,2.756,2.778,115.59
2025-03-30 08:00:00+00:00,2.778,2.778,2.778,2.778,0.0
2025-03-30 12:00:00+00:00,2.738,2.738,2.737,2.737,10.86
2025-03-30 16:00:00+00:00,2.729,2.785,2.729,2.771,25.9
2025-03-30 20:00:00+00:00,2.736,2.736,2.728,2.728,6.12
2025-03-31 00:00:00+00:00,2.76,2.779,2.733,2.779,167.37
2025-03-31 04:00:00+00:00,2.75,2.775,2.739,2.775,17.74
2025-03-31 08:00:00+00:00,2.714,2.735,2.708,2.735,9.21
2025-03-31 12:00:00+00:00,2.758,2.806,2.752,2.796,192.87
2025-03-31 16:00:00+00:00,2.796,2.796,2.796,2.796,0.0
2025-03-31 20:00:00+00:00,2.782,2.782,2.782,2.782,1.79
2025-04-01 00:00:00+00:00,2.775,2.775,2.775,2.775,4.31
2025-04-01 04:00:00+00:00,2.831,2.936,2.831,2.936,256.82
2025-04-01 08:00:00+00:00,2.871,2.871,2.867,2.867,13.24
2025-04-01 12:00:00+00:00,2.854,2.903,2.854,2.903,188.96
2025-04-01 16:00:00+00:00,2.903,2.903,2.903,2.903,0.0
2025-04-01 20:00:00+00:00,2.825,2.845,2.824,2.845,33.89
2025-04-02 00:00:00+00:00,2.812,2.812,2.789,2.789,12.9
2025-04-02 04:00:00+00:00,2.781,2.781,2.77,2.77,15.05
2025-04-02 08:00:00+00:00,2.77,2.77,2.77,2.77,0.0
2025-04-02 12:00:00+00:00,2.844,2.871,2.824,2.871,11.15
2025-04-02 16:00:00+00:00,2.871,2.871,2.871,2.871,0.0
2025-04-02 20:00:00+00:00,2.888,2.896,2.654,2.698,185.14
2025-04-03 00:00:00+00:00,2.718,2.772,2.718,2.772,125.42
2025-04-03 04:00:00+00:00,2.762,2.762,2.72,2.72,27.28
2025-04-03 08:00:00+00:00,2.723,2.723,2.657,2.657,22.19
2025-04-03 12:00:00+00:00,2.645,2.67,2.617,2.67,531.01
2025-04-03 16:00:00+00:00,2.677,2.693,2.677,2.693,9.05
2025-04-03 20:00:00+00:00,2.716,2.74,2.716,2.73,39.61
2025-04-04 00:00:00+00:00,2.73,2.73,2.73,2.73,0.0
2025-04-04 04:00:00+00:00,2.728,3.452,2.728,2.881,5744.27
2025-04-04 08:00:00+00:00,2.893,2.893,2.735,2.735,175.12
2025-04-04 12:00:00+00:00,2.735,2.735,2.735,2.735,0.0
2025-04-04 16:00:00+00:00,2.801,2.801,2.76,2.771,5041.34
2025-04-04 20:00:00+00:00,2.774,2.784,2.774,2.784,16.38
2025-04-05 00:00:00+00:00,2.784,2.784,2.784,2.784,0.0
2025-04-05 04:00:00+00:00,2.741,2.741,2.739,2.739,10.28
2025-04-05 08:00:00+00:00,2.736,2.752,2.736,2.751,31.85
2025-04-05 12:00:00+00:00,2.706,2.708,2.657,2.657,48.72
2025-04-05 16:00:00+00:00,2.678,2.7,2.678,2.7,7.28
2025-04-05 20:00:00+00:00,2.695,2.699,2.679,2.699,55.78
2025-04-06 00:00:00+00:00,2.691,2.691,2.687,2.687,17.36
2025-04-06 04:00:00+00:00,2.652,2.652,2.652,2.652,2.1
2025-04-06 08:00:00+00:00,2.639,2.65,2.639,2.649,14.69
2025-04-06 12:00:00+00:00,2.617,2.618,2.563,2.563,792.85
2025-04-06 16:00:00+00:00,2.563,2.563,2.4,2.4,673.29
2025-04-06 20:00:00+00:00,2.388,2.411,2.332,2.371,223.66
2025-04-07 00:00:00+00:00,2.39,2.442,2.292,2.292,126.11
2025-04-07 04:00:00+00:00,2.333,2.355,2.131,2.228,235.23
2025-04-07 08:00:00+00:00,2.247,2.307,2.247,2.307,123.68
2025-04-07 12:00:00+00:00,2.328,2.463,2.281,2.352,331.01
