timestamp,open,high,low,close,volume
2025-03-24 16:00:00+00:00,192.94,192.94,190.98,190.98,0.38
2025-03-24 20:00:00+00:00,190.9,190.9,188.39,188.39,4.161
2025-03-25 00:00:00+00:00,188.9,188.9,186.35,186.53,55.794
2025-03-25 04:00:00+00:00,187.02,188.77,187.02,188.77,2.272
2025-03-25 08:00:00+00:00,188.77,190.67,188.77,190.67,54.683
2025-03-25 12:00:00+00:00,188.88,190.27,187.29,189.3,15.495
2025-03-25 16:00:00+00:00,186.83,188.23,186.35,186.82,1.824
2025-03-25 20:00:00+00:00,188.23,188.77,185.24,186.31,4.57
2025-03-26 00:00:00+00:00,186.32,186.67,182.65,182.83,5.016
2025-03-26 04:00:00+00:00,184.23,188.27,184.23,188.27,4.519
2025-03-26 08:00:00+00:00,188.77,189.25,186.43,189.25,1.028
2025-03-26 12:00:00+00:00,189.72,189.72,180.64,182.46,11.494
2025-03-26 16:00:00+00:00,180.52,181.85,174.32,177.73,41.101
2025-03-26 20:00:00+00:00,176.93,179.36,175.48,176.66,12.518
2025-03-27 00:00:00+00:00,178.6,183.41,178.6,181.35,78.081
2025-03-27 04:00:00+00:00,183.39,185.02,182.99,182.99,4.284
2025-03-27 08:00:00+00:00,184.62,185.71,182.42,182.42,8.995
2025-03-27 12:00:00+00:00,181.48,185.58,180.82,183.21,13.165
2025-03-27 16:00:00+00:00,183.2,183.84,181.97,183.84,4.779
2025-03-27 20:00:00+00:00,185.02,185.8,185.02,185.8,1.877
2025-03-28 00:00:00+00:00,185.95,187.3,184.65,184.67,9.221
2025-03-28 04:00:00+00:00,183.99,183.99,175.28,175.87,22.204
2025-03-28 08:00:00+00:00,175.83,176.02,173.06,173.94,8.918
2025-03-28 12:00:00+00:00,174.08,174.08,170.0,170.0,12.705
2025-03-28 16:00:00+00:00,169.64,172.8,168.42,172.8,4.796
2025-03-28 20:00:00+00:00,170.99,175.41,170.99,175.41,2.068
2025-03-29 00:00:00+00:00,175.95,177.88,173.58,175.87,7.416
2025-03-29 04:00:00+00:00,175.15,179.6,174.82,179.1,5.777
2025-03-29 08:00:00+00:00,180.13,180.42,172.79,172.79,5.645
2025-03-29 12:00:00+00:00,174.02,175.95,171.97,172.33,19.059
2025-03-29 16:00:00+00:00,172.92,172.92,167.38,169.61,16.711
2025-03-29 20:00:00+00:00,167.92,168.02,166.03,168.02,3.847
2025-03-30 00:00:00+00:00,168.03,169.05,166.06,167.7,6.605
2025-03-30 04:00:00+00:00,166.57,166.57,164.94,166.21,0.9
2025-03-30 08:00:00+00:00,167.36,167.37,164.94,164.94,2.789
2025-03-30 12:00:00+00:00,164.49,165.14,162.82,162.82,47.518
2025-03-30 16:00:00+00:00,162.78,166.54,161.96,165.63,3.031
2025-03-30 20:00:00+00:00,164.41,164.88,162.17,162.71,8.914
2025-03-31 00:00:00+00:00,162.83,164.06,160.0,160.27,100.589
2025-03-31 04:00:00+00:00,159.57,161.62,156.43,156.43,17.517
2025-03-31 08:00:00+00:00,157.23,157.64,152.53,156.07,35.151
2025-03-31 12:00:00+00:00,156.85,162.91,155.61,161.61,18.939
2025-03-31 16:00:00+00:00,161.83,162.43,157.61,159.55,21.227
2025-03-31 20:00:00+00:00,159.83,159.83,158.76,158.8,4.098
2025-04-01 00:00:00+00:00,159.23,161.62,159.23,161.62,5.416
