segment,strategy,family,start,end,final_balance,return_pct,max_drawdown_pct,trades,win_rate,profit_factor,avg_trade_pct,sharpe
full,squeeze_breakout_48_vol_1.5,squeeze_breakout,2023-08-17 01:00:00+00:00,2026-03-27 04:00:00+00:00,253.27,-15.58,17.6,532,0.318,0.721,-0.313,-1.358
train,squeeze_breakout_72_vol_1.2,squeeze_breakout,2023-08-17 01:00:00+00:00,2025-03-17 05:00:00+00:00,281.02,-6.33,7.24,245,0.31,0.776,-0.261,-0.983
test,squeeze_breakout_72_vol_1.2,squeeze_breakout,2025-03-17 06:00:00+00:00,2026-03-27 04:00:00+00:00,293.22,-2.26,3.61,155,0.387,0.855,-0.144,-0.591
full,squeeze_breakout_72_vol_1.2,squeeze_breakout,2023-08-17 01:00:00+00:00,2026-03-27 04:00:00+00:00,274.67,-8.44,10.18,400,0.34,0.803,-0.216,-0.839
train,squeeze_breakout_72_vol_1.5,squeeze_breakout,2023-08-17 01:00:00+00:00,2025-03-17 05:00:00+00:00,286.12,-4.63,5.79,218,0.321,0.813,-0.212,-0.773
test,squeeze_breakout_72_vol_1.5,squeeze_breakout,2025-03-17 06:00:00+00:00,2026-03-27 04:00:00+00:00,290.34,-3.22,4.23,150,0.373,0.793,-0.214,-0.868
full,squeeze_breakout_72_vol_1.5,squeeze_breakout,2023-08-17 01:00:00+00:00,2026-03-27 04:00:00+00:00,276.9,-7.7,9.36,368,0.342,0.806,-0.213,-0.809
train,relative_strength_top_2_rebalance_24,relative_strength,2023-08-17 01:00:00+00:00,2025-03-17 05:00:00+00:00,298.29,-0.57,16.07,259,0.367,0.993,0.02,0.032
test,relative_strength_top_2_rebalance_24,relative_strength,2025-03-17 06:00:00+00:00,2026-03-27 04:00:00+00:00,284.27,-5.24,11.97,108,0.398,0.838,-0.451,-0.544
full,relative_strength_top_2_rebalance_24,relative_strength,2023-08-17 01:00:00+00:00,2026-03-27 04:00:00+00:00,282.65,-5.78,19.24,367,0.376,0.948,-0.119,-0.152
train,relative_strength_top_2_rebalance_72,relative_strength,2023-08-17 01:00:00+00:00,2025-03-17 05:00:00+00:00,309.77,3.26,11.7,133,0.391,1.076,0.295,0.265
test,relative_strength_top_2_rebalance_72,relative_strength,2025-03-17 06:00:00+00:00,2026-03-27 04:00:00+00:00,297.56,-0.81,10.91,57,0.351,0.962,-0.076,-0.064
full,relative_strength_top_2_rebalance_72,relative_strength,2023-08-17 01:00:00+00:00,2026-03-27 04:00:00+00:00,307.26,2.42,11.7,190,0.379,1.038,0.184,0.149
