timestamp,open,high,low,close,volume
2023-03-27 04:00:00+00:00,73.2,73.6,73.2,73.6,6.537
2023-03-27 05:00:00+00:00,72.9,72.9,72.2,72.2,7.647
2023-03-27 06:00:00+00:00,72.1,72.1,72.0,72.0,1.174
2023-03-27 07:00:00+00:00,71.8,71.8,71.8,71.8,5.621
2023-03-27 08:00:00+00:00,71.6,71.6,71.6,71.6,3.398
2023-03-27 09:00:00+00:00,71.6,71.6,71.6,71.6,0.0
2023-03-27 10:00:00+00:00,71.6,71.6,71.6,71.6,0.0
2023-03-27 11:00:00+00:00,71.6,71.6,71.6,71.6,0.0
2023-03-27 12:00:00+00:00,71.6,71.6,71.6,71.6,0.0
2023-03-27 13:00:00+00:00,71.5,71.5,71.4,71.4,4.637
2023-03-27 14:00:00+00:00,71.3,71.3,70.0,70.0,18.479
2023-03-27 15:00:00+00:00,69.9,69.9,68.4,69.5,216.556
2023-03-27 16:00:00+00:00,69.8,70.1,69.4,69.5,14.376
2023-03-27 17:00:00+00:00,69.0,69.7,69.0,69.7,2.471
2023-03-27 18:00:00+00:00,69.7,69.8,69.7,69.8,2.446
2023-03-27 19:00:00+00:00,70.0,70.0,69.4,69.4,0.831
2023-03-27 20:00:00+00:00,69.0,69.2,69.0,69.2,2.037
2023-03-27 21:00:00+00:00,69.4,69.9,69.3,69.6,21.846
2023-03-27 22:00:00+00:00,69.6,69.7,69.4,69.4,2.343
2023-03-27 23:00:00+00:00,69.7,69.7,69.7,69.7,0.173
2023-03-28 00:00:00+00:00,69.2,69.2,69.2,69.2,0.487
2023-03-28 01:00:00+00:00,69.0,69.8,68.9,69.8,36.079
2023-03-28 02:00:00+00:00,69.4,69.4,69.4,69.4,0.666
2023-03-28 03:00:00+00:00,69.0,69.0,69.0,69.0,0.67
2023-03-28 04:00:00+00:00,68.8,68.8,68.7,68.7,1.454
2023-03-28 05:00:00+00:00,68.7,68.7,68.7,68.7,0.0
2023-03-28 06:00:00+00:00,69.4,69.8,69.4,69.8,0.831
2023-03-28 07:00:00+00:00,69.8,70.1,69.7,69.7,4.592
2023-03-28 08:00:00+00:00,69.4,69.8,69.4,69.8,1.332
2023-03-28 09:00:00+00:00,69.4,69.4,69.4,69.4,0.666
2023-03-28 10:00:00+00:00,69.4,69.4,69.4,69.4,0.0
2023-03-28 11:00:00+00:00,69.8,70.1,69.8,70.1,1.327
2023-03-28 12:00:00+00:00,70.2,70.4,70.2,70.4,6.583
2023-03-28 13:00:00+00:00,69.7,70.3,69.6,70.3,6.662
2023-03-28 14:00:00+00:00,70.3,70.3,70.3,70.3,0.0
2023-03-28 15:00:00+00:00,70.4,70.5,70.3,70.3,5.924
